persona_id,household_id,method,city,days,start_date,memory_sample_id,memory_source_event_id,memory_source_day,price_csv,vpp_start_hour,vpp_duration_hours,vpp_events_json,status,return_code,elapsed_s,output_dir,log_file,run_summary_path,exit_code,energy_kwh,energy_kwh_per_day,day_ahead_total_cost_eur,day_ahead_weighted_price_eur_per_kwh,day_ahead_price_unit,day_ahead_price_source,vpp_window_energy_kwh,vpp_window_energy_avg_per_hour_kwh,vpp_demand_achievement_ratio,vpp_appliance_avoidance_success_rate,user_pref_score,appliance_task_completion_rate,physical_appliance_task_completion_rate,policy_output_covered_appliance_services,policy_output_uncovered_appliance_services,policy_output_absent_appliance_services,counterfactual_baseline_status,counterfactual_baseline_id,counterfactual_baseline_source,counterfactual_baseline_basis,counterfactual_baseline_event_count,counterfactual_baseline_vpp_window_kwh,counterfactual_actual_vpp_window_kwh,counterfactual_capacity_upper_bound_total_kwh,counterfactual_capacity_upper_bound_avg_per_hour_kwh,counterfactual_actual_shed_total_kwh,counterfactual_actual_shed_avg_per_hour_kwh,counterfactual_delivery_ratio_vs_baseline_upper_bound_total,vpp_energy_reduction_total_kwh,vpp_energy_reduction_avg_per_hour_kwh,vpp_energy_reduction_basis
household_s2_multigeneration_caregiver,household_s2_multigeneration_caregiver,no_dr,Germany,1,2025-07-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\_batch_logs\daily_event_configs\d01_hist_d01_1.json,completed,0,8.3,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\household_s2_multigeneration_caregiver_no_dr_germany_d01_hist_d01_1_2025-07-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\_batch_logs\daily_dr_memory_germany_1day\household_s2_multigeneration_caregiver_no_dr_germany_d01_hist_d01_1_2025-07-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\household_s2_multigeneration_caregiver_no_dr_germany_d01_hist_d01_1_2025-07-01_1day\run_summary.txt,0,72.018052,72.018052,28.902081,0.149171,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,11.277,11.277,1.0,1.0,,0.0,1.0,[],"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],matched,household_s2_multigeneration_caregiver|germany|1days|2025-07-01|no_dr,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\household_s2_multigeneration_caregiver_no_dr_germany_d01_hist_d01_1_2025-07-01_1day\benchmark_result.json,no_dr_counterfactual_event_window_energy,1,11.277,11.277,11.277,11.277,0.0,0.0,0.0,0.0,0.0,no_dr_counterfactual_baseline
household_s3_hybrid_work_from_home,household_s3_hybrid_work_from_home,no_dr,Germany,1,2025-07-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\_batch_logs\daily_event_configs\d01_hist_d01_1.json,completed,0,8.7,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\household_s3_hybrid_work_from_home_no_dr_germany_d01_hist_d01_1_2025-07-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\_batch_logs\daily_dr_memory_germany_1day\household_s3_hybrid_work_from_home_no_dr_germany_d01_hist_d01_1_2025-07-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\household_s3_hybrid_work_from_home_no_dr_germany_d01_hist_d01_1_2025-07-01_1day\run_summary.txt,0,76.137106,76.137106,29.466441,0.148518,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,11.2333,11.2333,1.0,1.0,,0.0,0.8,[],"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],matched,household_s3_hybrid_work_from_home|germany|1days|2025-07-01|no_dr,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\household_s3_hybrid_work_from_home_no_dr_germany_d01_hist_d01_1_2025-07-01_1day\benchmark_result.json,no_dr_counterfactual_event_window_energy,1,11.2333,11.2333,11.2333,11.2333,0.0,0.0,0.0,0.0,0.0,no_dr_counterfactual_baseline
household_s1_dual_commuter_standard,household_s1_dual_commuter_standard,no_dr,Germany,1,2025-07-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\_batch_logs\daily_event_configs\d01_hist_d01_1.json,completed,0,8.8,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\household_s1_dual_commuter_standard_no_dr_germany_d01_hist_d01_1_2025-07-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\_batch_logs\daily_dr_memory_germany_1day\household_s1_dual_commuter_standard_no_dr_germany_d01_hist_d01_1_2025-07-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\household_s1_dual_commuter_standard_no_dr_germany_d01_hist_d01_1_2025-07-01_1day\run_summary.txt,0,79.628815,79.628815,29.774308,0.147807,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,11.2228,11.2228,1.0,1.0,,0.0,1.0,[],"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],matched,household_s1_dual_commuter_standard|germany|1days|2025-07-01|no_dr,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\household_s1_dual_commuter_standard_no_dr_germany_d01_hist_d01_1_2025-07-01_1day\benchmark_result.json,no_dr_counterfactual_event_window_energy,1,11.2228,11.2228,11.2228,11.2228,0.0,0.0,0.0,0.0,0.0,no_dr_counterfactual_baseline
household_s4_ev_commuter_flexible,household_s4_ev_commuter_flexible,no_dr,Germany,1,2025-07-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\_batch_logs\daily_event_configs\d01_hist_d01_1.json,completed,0,9.5,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\household_s4_ev_commuter_flexible_no_dr_germany_d01_hist_d01_1_2025-07-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\_batch_logs\daily_dr_memory_germany_1day\household_s4_ev_commuter_flexible_no_dr_germany_d01_hist_d01_1_2025-07-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\household_s4_ev_commuter_flexible_no_dr_germany_d01_hist_d01_1_2025-07-01_1day\run_summary.txt,0,84.104177,84.104177,30.035655,0.147323,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,11.2228,11.2228,1.0,1.0,,0.0,1.0,[],"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],matched,household_s4_ev_commuter_flexible|germany|1days|2025-07-01|no_dr,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\household_s4_ev_commuter_flexible_no_dr_germany_d01_hist_d01_1_2025-07-01_1day\benchmark_result.json,no_dr_counterfactual_event_window_energy,1,11.2228,11.2228,11.2228,11.2228,0.0,0.0,0.0,0.0,0.0,no_dr_counterfactual_baseline
household_s5_shared_roommates_irregular,household_s5_shared_roommates_irregular,no_dr,Germany,1,2025-07-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\_batch_logs\daily_event_configs\d01_hist_d01_1.json,completed,0,21.5,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\household_s5_shared_roommates_irregular_no_dr_germany_d01_hist_d01_1_2025-07-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\_batch_logs\daily_dr_memory_germany_1day\household_s5_shared_roommates_irregular_no_dr_germany_d01_hist_d01_1_2025-07-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\household_s5_shared_roommates_irregular_no_dr_germany_d01_hist_d01_1_2025-07-01_1day\run_summary.txt,0,75.840409,75.840409,29.470785,0.148448,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,11.2228,11.2228,1.0,1.0,,0.0,1.0,[],"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],matched,household_s5_shared_roommates_irregular|germany|1days|2025-07-01|no_dr,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\household_s5_shared_roommates_irregular_no_dr_germany_d01_hist_d01_1_2025-07-01_1day\benchmark_result.json,no_dr_counterfactual_event_window_energy,1,11.2228,11.2228,11.2228,11.2228,0.0,0.0,0.0,0.0,0.0,no_dr_counterfactual_baseline
household_s1_dual_commuter_standard,household_s1_dual_commuter_standard,hema_agent,Germany,1,2025-07-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\_batch_logs\daily_event_configs\d01_hist_d01_1.json,completed,0,175.3,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\household_s1_dual_commuter_standard_hema_agent_germany_d01_hist_d01_1_2025-07-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\_batch_logs\daily_dr_memory_germany_1day\household_s1_dual_commuter_standard_hema_agent_germany_d01_hist_d01_1_2025-07-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\household_s1_dual_commuter_standard_hema_agent_germany_d01_hist_d01_1_2025-07-01_1day\run_summary.txt,0,90.721524,90.721524,29.099327,0.145729,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,7.9475,7.9475,0.0,0.0,2.662,1.0,1.0,"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],[],matched,household_s1_dual_commuter_standard|germany|1days|2025-07-01|no_dr,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\household_s1_dual_commuter_standard_no_dr_germany_d01_hist_d01_1_2025-07-01_1day\benchmark_result.json,no_dr_counterfactual_event_window_energy,1,11.2228,7.9475,11.2228,11.2228,3.2753,3.2753,0.291843,3.2753,3.2753,no_dr_counterfactual_baseline
household_s1_dual_commuter_standard,household_s1_dual_commuter_standard,no_dr,Tianjin,1,2025-07-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\tianjin_tou_price_normalized.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\_batch_logs\daily_event_configs\d01_hist_d01_1.json,completed,0,5.8,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\household_s1_dual_commuter_standard_no_dr_tianjin_d01_hist_d01_1_2025-07-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\_batch_logs\daily_dr_memory_tianjin_1day\household_s1_dual_commuter_standard_no_dr_tianjin_d01_hist_d01_1_2025-07-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\household_s1_dual_commuter_standard_no_dr_tianjin_d01_hist_d01_1_2025-07-01_1day\run_summary.txt,0,79.392325,79.392325,76.782034,1.149374,normalized TOU cost/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\tianjin_tou_price_normalized.csv,6.2617,6.2617,1.0,1.0,,0.0,1.0,[],"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],matched,household_s1_dual_commuter_standard|tianjin|1days|2025-07-01|no_dr,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\household_s1_dual_commuter_standard_no_dr_tianjin_d01_hist_d01_1_2025-07-01_1day\benchmark_result.json,no_dr_counterfactual_event_window_energy,1,6.2617,6.2617,6.2617,6.2617,0.0,0.0,0.0,0.0,0.0,no_dr_counterfactual_baseline
household_s3_hybrid_work_from_home,household_s3_hybrid_work_from_home,hema_agent,Germany,1,2025-07-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\_batch_logs\daily_event_configs\d01_hist_d01_1.json,completed,0,181.2,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\household_s3_hybrid_work_from_home_hema_agent_germany_d01_hist_d01_1_2025-07-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\_batch_logs\daily_dr_memory_germany_1day\household_s3_hybrid_work_from_home_hema_agent_germany_d01_hist_d01_1_2025-07-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\household_s3_hybrid_work_from_home_hema_agent_germany_d01_hist_d01_1_2025-07-01_1day\run_summary.txt,0,80.851646,80.851646,28.24263,0.143842,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,7.6846,7.6846,0.0,0.0,2.683,1.0,1.0,"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],[],matched,household_s3_hybrid_work_from_home|germany|1days|2025-07-01|no_dr,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\household_s3_hybrid_work_from_home_no_dr_germany_d01_hist_d01_1_2025-07-01_1day\benchmark_result.json,no_dr_counterfactual_event_window_energy,1,11.2333,7.6846,11.2333,11.2333,3.5487,3.5487,0.315909,3.5487,3.5487,no_dr_counterfactual_baseline
household_s2_multigeneration_caregiver,household_s2_multigeneration_caregiver,no_dr,Tianjin,1,2025-07-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\tianjin_tou_price_normalized.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\_batch_logs\daily_event_configs\d01_hist_d01_1.json,completed,0,13.1,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\household_s2_multigeneration_caregiver_no_dr_tianjin_d01_hist_d01_1_2025-07-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\_batch_logs\daily_dr_memory_tianjin_1day\household_s2_multigeneration_caregiver_no_dr_tianjin_d01_hist_d01_1_2025-07-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\household_s2_multigeneration_caregiver_no_dr_tianjin_d01_hist_d01_1_2025-07-01_1day\run_summary.txt,0,72.925798,72.925798,69.682187,1.183866,normalized TOU cost/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\tianjin_tou_price_normalized.csv,6.323,6.323,1.0,1.0,,0.0,1.0,[],"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],matched,household_s2_multigeneration_caregiver|tianjin|1days|2025-07-01|no_dr,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\household_s2_multigeneration_caregiver_no_dr_tianjin_d01_hist_d01_1_2025-07-01_1day\benchmark_result.json,no_dr_counterfactual_event_window_energy,1,6.323,6.323,6.323,6.323,0.0,0.0,0.0,0.0,0.0,no_dr_counterfactual_baseline
household_s4_ev_commuter_flexible,household_s4_ev_commuter_flexible,hema_agent,Germany,1,2025-07-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\_batch_logs\daily_event_configs\d01_hist_d01_1.json,completed,0,194.8,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\household_s4_ev_commuter_flexible_hema_agent_germany_d01_hist_d01_1_2025-07-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\_batch_logs\daily_dr_memory_germany_1day\household_s4_ev_commuter_flexible_hema_agent_germany_d01_hist_d01_1_2025-07-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\household_s4_ev_commuter_flexible_hema_agent_germany_d01_hist_d01_1_2025-07-01_1day\run_summary.txt,0,93.782394,93.782394,29.412148,0.145072,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,7.9475,7.9475,0.0,0.0,2.7,1.0,1.0,"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],[],matched,household_s4_ev_commuter_flexible|germany|1days|2025-07-01|no_dr,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22_july\household_s4_ev_commuter_flexible_no_dr_germany_d01_hist_d01_1_2025-07-01_1day\benchmark_result.json,no_dr_counterfactual_event_window_energy,1,11.2228,7.9475,11.2228,11.2228,3.2753,3.2753,0.291843,3.2753,3.2753,no_dr_counterfactual_baseline
