persona_id,household_id,method,city,days,start_date,memory_sample_id,memory_source_event_id,memory_source_day,price_csv,vpp_start_hour,vpp_duration_hours,vpp_events_json,status,return_code,elapsed_s,output_dir,log_file,run_summary_path,exit_code,energy_kwh,energy_kwh_per_day,day_ahead_total_cost_eur,day_ahead_weighted_price_eur_per_kwh,day_ahead_price_unit,day_ahead_price_source,vpp_window_energy_kwh,vpp_window_energy_avg_per_hour_kwh,vpp_demand_achievement_ratio,vpp_appliance_avoidance_success_rate,user_pref_score,appliance_task_completion_rate,physical_appliance_task_completion_rate,policy_output_covered_appliance_services,policy_output_uncovered_appliance_services,policy_output_absent_appliance_services
household_s1_dual_commuter_standard,household_s1_dual_commuter_standard,hema_agent,Germany,1,2025-06-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\_batch_logs\daily_event_configs\d01_hist_d01_1.json,skipped_done,0,0.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\household_s1_dual_commuter_standard_hema_agent_germany_d01_hist_d01_1_2025-06-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\_batch_logs\daily_dr_memory_germany_1day\household_s1_dual_commuter_standard_hema_agent_germany_d01_hist_d01_1_2025-06-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\household_s1_dual_commuter_standard_hema_agent_germany_d01_hist_d01_1_2025-06-01_1day\run_summary.txt,0,68.124624,68.124624,9.5178,0.049696,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,7.6891,7.6891,0.0,0.0,2.662,1.0,1.0,"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],[]
household_s1_dual_commuter_standard,household_s1_dual_commuter_standard,no_dr,Germany,1,2025-06-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\_batch_logs\daily_event_configs\d01_hist_d01_1.json,skipped_done,0,0.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\household_s1_dual_commuter_standard_no_dr_germany_d01_hist_d01_1_2025-06-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\_batch_logs\daily_dr_memory_germany_1day\household_s1_dual_commuter_standard_no_dr_germany_d01_hist_d01_1_2025-06-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\household_s1_dual_commuter_standard_no_dr_germany_d01_hist_d01_1_2025-06-01_1day\run_summary.txt,0,60.672246,60.672246,9.816012,0.050853,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,10.6596,10.6596,1.0,1.0,,0.0,1.0,[],"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[]
household_s2_multigeneration_caregiver,household_s2_multigeneration_caregiver,hema_agent,Germany,1,2025-06-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\_batch_logs\daily_event_configs\d01_hist_d01_1.json,skipped_done,0,0.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\household_s2_multigeneration_caregiver_hema_agent_germany_d01_hist_d01_1_2025-06-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\_batch_logs\daily_dr_memory_germany_1day\household_s2_multigeneration_caregiver_hema_agent_germany_d01_hist_d01_1_2025-06-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\household_s2_multigeneration_caregiver_hema_agent_germany_d01_hist_d01_1_2025-06-01_1day\run_summary.txt,0,56.721564,56.721564,9.526946,0.049818,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,9.4333,9.4333,0.0,0.0,2.6,1.0,1.0,"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],[]
household_s2_multigeneration_caregiver,household_s2_multigeneration_caregiver,no_dr,Germany,1,2025-06-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\_batch_logs\daily_event_configs\d01_hist_d01_1.json,skipped_done,0,0.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\household_s2_multigeneration_caregiver_no_dr_germany_d01_hist_d01_1_2025-06-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\_batch_logs\daily_dr_memory_germany_1day\household_s2_multigeneration_caregiver_no_dr_germany_d01_hist_d01_1_2025-06-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\household_s2_multigeneration_caregiver_no_dr_germany_d01_hist_d01_1_2025-06-01_1day\run_summary.txt,0,53.366802,53.366802,9.157281,0.049434,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,10.6961,10.6961,1.0,1.0,,0.0,1.0,[],"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[]
household_s3_hybrid_work_from_home,household_s3_hybrid_work_from_home,hema_agent,Germany,1,2025-06-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\_batch_logs\daily_event_configs\d01_hist_d01_1.json,skipped_done,0,0.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\household_s3_hybrid_work_from_home_hema_agent_germany_d01_hist_d01_1_2025-06-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\_batch_logs\daily_dr_memory_germany_1day\household_s3_hybrid_work_from_home_hema_agent_germany_d01_hist_d01_1_2025-06-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\household_s3_hybrid_work_from_home_hema_agent_germany_d01_hist_d01_1_2025-06-01_1day\run_summary.txt,0,57.867733,57.867733,9.671689,0.04997,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,7.1978,7.1978,0.0,0.0,1.333,1.0,0.8,"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],[]
household_s3_hybrid_work_from_home,household_s3_hybrid_work_from_home,no_dr,Germany,1,2025-06-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\_batch_logs\daily_event_configs\d01_hist_d01_1.json,skipped_done,0,0.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\household_s3_hybrid_work_from_home_no_dr_germany_d01_hist_d01_1_2025-06-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\_batch_logs\daily_dr_memory_germany_1day\household_s3_hybrid_work_from_home_no_dr_germany_d01_hist_d01_1_2025-06-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\household_s3_hybrid_work_from_home_no_dr_germany_d01_hist_d01_1_2025-06-01_1day\run_summary.txt,0,56.852793,56.852793,9.487449,0.050254,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,10.667,10.667,1.0,1.0,,0.0,0.8,[],"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[]
household_s4_ev_commuter_flexible,household_s4_ev_commuter_flexible,no_dr,Germany,1,2025-06-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\_batch_logs\daily_event_configs\d01_hist_d01_1.json,skipped_done,0,0.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\household_s4_ev_commuter_flexible_no_dr_germany_d01_hist_d01_1_2025-06-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\_batch_logs\daily_dr_memory_germany_1day\household_s4_ev_commuter_flexible_no_dr_germany_d01_hist_d01_1_2025-06-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\household_s4_ev_commuter_flexible_no_dr_germany_d01_hist_d01_1_2025-06-01_1day\run_summary.txt,0,64.753406,64.753406,10.146892,0.051479,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,10.6596,10.6596,1.0,1.0,,0.0,1.0,[],"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[]
household_s4_ev_commuter_flexible,household_s4_ev_commuter_flexible,hema_agent,Germany,1,2025-06-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\_batch_logs\daily_event_configs\d01_hist_d01_1.json,skipped_done,0,0.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\household_s4_ev_commuter_flexible_hema_agent_germany_d01_hist_d01_1_2025-06-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\_batch_logs\daily_dr_memory_germany_1day\household_s4_ev_commuter_flexible_hema_agent_germany_d01_hist_d01_1_2025-06-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\household_s4_ev_commuter_flexible_hema_agent_germany_d01_hist_d01_1_2025-06-01_1day\run_summary.txt,0,72.205784,72.205784,9.855711,0.050387,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,7.6891,7.6891,0.0,0.0,2.7,1.0,1.0,"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],[]
household_s5_shared_roommates_irregular,household_s5_shared_roommates_irregular,no_dr,Germany,1,2025-06-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\_batch_logs\daily_event_configs\d01_hist_d01_1.json,skipped_done,0,0.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\household_s5_shared_roommates_irregular_no_dr_germany_d01_hist_d01_1_2025-06-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\_batch_logs\daily_dr_memory_germany_1day\household_s5_shared_roommates_irregular_no_dr_germany_d01_hist_d01_1_2025-06-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\household_s5_shared_roommates_irregular_no_dr_germany_d01_hist_d01_1_2025-06-01_1day\run_summary.txt,0,56.591087,56.591087,9.485132,0.0502,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,10.6596,10.6596,1.0,1.0,,0.0,1.0,[],"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[]
household_s5_shared_roommates_irregular,household_s5_shared_roommates_irregular,hema_agent,Germany,1,2025-06-01,d01_hist_d01_1,hist_d01_1,1,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,18.0,1.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\_batch_logs\daily_event_configs\d01_hist_d01_1.json,skipped_done,0,0.0,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\household_s5_shared_roommates_irregular_hema_agent_germany_d01_hist_d01_1_2025-06-01_1day,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\_batch_logs\daily_dr_memory_germany_1day\household_s5_shared_roommates_irregular_hema_agent_germany_d01_hist_d01_1_2025-06-01_1day.log,D:\Pycharm_project\PycharmProjects\EnergyBridge\benchmark_results\2026-07-22\household_s5_shared_roommates_irregular_hema_agent_germany_d01_hist_d01_1_2025-06-01_1day\run_summary.txt,0,60.746364,60.746364,9.708784,0.050181,EUR/kWh,D:\Pycharm_project\PycharmProjects\EnergyBridge\experiments\real_data\germany_2025_price.csv,7.6891,7.6891,0.0,0.0,1.75,1.0,0.8,"['dishwasher', 'dryer', 'ev', 'washer', 'water_heater']",[],[]
