Country,ISO3 Code,Datetime (UTC),Datetime (Local),Price (EUR/MWhe)
Germany,DEU,2024-12-31 23:00:00,2025-01-01 00:00:00,1.02
Germany,DEU,2025-01-01 00:00:00,2025-01-01 01:00:00,0.54
Germany,DEU,2025-01-01 01:00:00,2025-01-01 02:00:00,-0.74
Germany,DEU,2025-01-01 02:00:00,2025-01-01 03:00:00,-1.31
Germany,DEU,2025-01-01 03:00:00,2025-01-01 04:00:00,-3.26
Germany,DEU,2025-01-01 04:00:00,2025-01-01 05:00:00,-2.72
Germany,DEU,2025-01-01 05:00:00,2025-01-01 06:00:00,-2.8
Germany,DEU,2025-01-01 06:00:00,2025-01-01 07:00:00,-1.44
Germany,DEU,2025-01-01 07:00:00,2025-01-01 08:00:00,-5.0
Germany,DEU,2025-01-01 08:00:00,2025-01-01 09:00:00,-4.14
Germany,DEU,2025-01-01 09:00:00,2025-01-01 10:00:00,-5.36
Germany,DEU,2025-01-01 10:00:00,2025-01-01 11:00:00,-2.95
Germany,DEU,2025-01-01 11:00:00,2025-01-01 12:00:00,-2.57
Germany,DEU,2025-01-01 12:00:00,2025-01-01 13:00:00,-2.33
Germany,DEU,2025-01-01 13:00:00,2025-01-01 14:00:00,-2.76
Germany,DEU,2025-01-01 14:00:00,2025-01-01 15:00:00,-0.55
Germany,DEU,2025-01-01 15:00:00,2025-01-01 16:00:00,-0.26
Germany,DEU,2025-01-01 16:00:00,2025-01-01 17:00:00,2.04
Germany,DEU,2025-01-01 17:00:00,2025-01-01 18:00:00,4.84
Germany,DEU,2025-01-01 18:00:00,2025-01-01 19:00:00,4.86
Germany,DEU,2025-01-01 19:00:00,2025-01-01 20:00:00,4.78
Germany,DEU,2025-01-01 20:00:00,2025-01-01 21:00:00,1.84
Germany,DEU,2025-01-01 21:00:00,2025-01-01 22:00:00,6.86
Germany,DEU,2025-01-01 22:00:00,2025-01-01 23:00:00,4.04
Germany,DEU,2025-01-01 23:00:00,2025-01-02 00:00:00,5.9
Germany,DEU,2025-01-02 00:00:00,2025-01-02 01:00:00,5.23
Germany,DEU,2025-01-02 01:00:00,2025-01-02 02:00:00,13.02
Germany,DEU,2025-01-02 02:00:00,2025-01-02 03:00:00,16.36
Germany,DEU,2025-01-02 03:00:00,2025-01-02 04:00:00,17.73
Germany,DEU,2025-01-02 04:00:00,2025-01-02 05:00:00,38.94
Germany,DEU,2025-01-02 05:00:00,2025-01-02 06:00:00,68.52
Germany,DEU,2025-01-02 06:00:00,2025-01-02 07:00:00,103.45
Germany,DEU,2025-01-02 07:00:00,2025-01-02 08:00:00,119.82
Germany,DEU,2025-01-02 08:00:00,2025-01-02 09:00:00,126.66
Germany,DEU,2025-01-02 09:00:00,2025-01-02 10:00:00,123.88
Germany,DEU,2025-01-02 10:00:00,2025-01-02 11:00:00,121.37
Germany,DEU,2025-01-02 11:00:00,2025-01-02 12:00:00,117.18
Germany,DEU,2025-01-02 12:00:00,2025-01-02 13:00:00,116.35
Germany,DEU,2025-01-02 13:00:00,2025-01-02 14:00:00,121.24
Germany,DEU,2025-01-02 14:00:00,2025-01-02 15:00:00,129.9
Germany,DEU,2025-01-02 15:00:00,2025-01-02 16:00:00,136.24
Germany,DEU,2025-01-02 16:00:00,2025-01-02 17:00:00,151.92
Germany,DEU,2025-01-02 17:00:00,2025-01-02 18:00:00,151.73
Germany,DEU,2025-01-02 18:00:00,2025-01-02 19:00:00,139.88
Germany,DEU,2025-01-02 19:00:00,2025-01-02 20:00:00,129.99
Germany,DEU,2025-01-02 20:00:00,2025-01-02 21:00:00,116.89
Germany,DEU,2025-01-02 21:00:00,2025-01-02 22:00:00,112.21
