hour_start,hour_end,season,official_tou_period,is_valley,is_flat,is_peak,is_system_critical_window_20_22_for_dr_reference,normalized_aggregator_tou_incentive
0:00,1:00,summer_July_August,flat,0,1,0,0,1
1:00,2:00,summer_July_August,valley,1,0,0,0,0.4
2:00,3:00,summer_July_August,valley,1,0,0,0,0.4
3:00,4:00,summer_July_August,valley,1,0,0,0,0.4
4:00,5:00,summer_July_August,valley,1,0,0,0,0.4
5:00,6:00,summer_July_August,valley,1,0,0,0,0.4
6:00,7:00,summer_July_August,valley,1,0,0,0,0.4
7:00,8:00,summer_July_August,valley,1,0,0,0,0.4
8:00,9:00,summer_July_August,valley,1,0,0,0,0.4
9:00,10:00,summer_July_August,flat,0,1,0,0,1
10:00,11:00,summer_July_August,flat,0,1,0,0,1
11:00,12:00,summer_July_August,flat,0,1,0,0,1
12:00,13:00,summer_July_August,flat,0,1,0,0,1
13:00,14:00,summer_July_August,flat,0,1,0,0,1
14:00,15:00,summer_July_August,flat,0,1,0,0,1
15:00,16:00,summer_July_August,peak,0,0,1,0,1.6
16:00,17:00,summer_July_August,peak,0,0,1,0,1.6
17:00,18:00,summer_July_August,peak,0,0,1,0,1.6
18:00,19:00,summer_July_August,peak,0,0,1,0,1.6
19:00,20:00,summer_July_August,peak,0,0,1,0,1.6
20:00,21:00,summer_July_August,peak,0,0,1,1,1.6
21:00,22:00,summer_July_August,peak,0,0,1,1,1.6
22:00,23:00,summer_July_August,peak,0,0,1,0,1.6
23:00,24:00:00,summer_July_August,flat,0,1,0,0,1
