participant_id,persona,age_band
R0001,Comfort-sensitive,20-24
R0002,Caregiver,35-44
R0003,Caregiver,20-24
R0004,Price-sensitive,25-34
R0005,EV commuter,20-24
R0006,EV commuter,20-24
R0007,Comfort-sensitive,35-44
R0008,EV commuter,20-24
R0009,Cooperative regular,45-55
R0010,Caregiver,45-55
R0011,Comfort-sensitive,20-24
R0012,EV commuter,25-34
R0013,Comfort-sensitive,25-34
R0014,Caregiver,25-34
R0015,EV commuter,35-44
R0016,EV commuter,25-34
R0017,Caregiver,20-24
R0018,Caregiver,20-24
R0019,Price-sensitive,20-24
R0020,Price-sensitive,20-24
R0021,EV commuter,35-44
R0022,Caregiver,25-34
R0023,Irregular routine,20-24
R0024,EV commuter,25-34
R0025,EV commuter,25-34
R0026,Irregular routine,45-55
R0027,Price-sensitive,20-24
R0028,Cooperative regular,45-55
R0029,Irregular routine,35-44
R0030,Irregular routine,35-44
R0031,Comfort-sensitive,25-34
R0032,Cooperative regular,20-24
R0033,Price-sensitive,20-24
R0034,Comfort-sensitive,25-34
R0035,Comfort-sensitive,20-24
R0036,Comfort-sensitive,35-44
R0037,Irregular routine,20-24
R0038,Cooperative regular,20-24
R0039,Comfort-sensitive,20-24
R0040,Cooperative regular,25-34
R0041,EV commuter,20-24
R0042,Price-sensitive,25-34
R0043,Cooperative regular,45-55
R0044,Price-sensitive,20-24
R0045,EV commuter,25-34
R0046,EV commuter,25-34
R0047,Comfort-sensitive,20-24
R0048,Cooperative regular,25-34
R0049,Comfort-sensitive,25-34
R0050,EV commuter,25-34
R0051,Irregular routine,45-55
R0052,Cooperative regular,35-44
R0053,EV commuter,20-24
R0054,Caregiver,25-34
R0055,Price-sensitive,25-34
R0056,Cooperative regular,25-34
R0057,Comfort-sensitive,20-24
R0058,Caregiver,45-55
R0059,Price-sensitive,25-34
R0060,Cooperative regular,20-24
R0061,Comfort-sensitive,35-44
R0062,Caregiver,45-55
R0063,Cooperative regular,20-24
R0064,Price-sensitive,25-34
R0065,Caregiver,45-55
R0066,Price-sensitive,25-34
R0067,Irregular routine,20-24
R0068,EV commuter,25-34
R0069,Cooperative regular,45-55
R0070,EV commuter,25-34
R0071,Comfort-sensitive,20-24
R0072,Irregular routine,25-34
R0073,EV commuter,25-34
R0074,EV commuter,20-24
R0075,Cooperative regular,35-44
R0076,EV commuter,20-24
R0077,Price-sensitive,20-24
R0078,Price-sensitive,20-24
R0079,Caregiver,25-34
R0080,Cooperative regular,25-34
R0081,Irregular routine,20-24
R0082,Caregiver,25-34
R0083,EV commuter,45-55
