participant_id,persona,method,method_order,acceptance,satisfaction_score
R0001,Comfort-sensitive,MPC,1,0,0
R0001,Comfort-sensitive,HEMA,2,0,4
R0001,Comfort-sensitive,EnergyBridge,3,1,5
R0002,Caregiver,MPC,1,0,0
R0002,Caregiver,HEMA,2,0,2
R0002,Caregiver,EnergyBridge,3,1,0
R0003,Caregiver,MPC,1,0,2
R0003,Caregiver,HEMA,2,0,3
R0003,Caregiver,EnergyBridge,3,1,2
R0004,Price-sensitive,MPC,1,0,2
R0004,Price-sensitive,HEMA,2,1,4
R0004,Price-sensitive,EnergyBridge,3,0,3
R0005,EV commuter,MPC,1,1,1
R0005,EV commuter,HEMA,2,0,2
R0005,EV commuter,EnergyBridge,3,0,4
R0006,EV commuter,MPC,1,0,4
R0006,EV commuter,HEMA,2,0,1
R0006,EV commuter,EnergyBridge,3,0,5
R0007,Comfort-sensitive,MPC,1,0,5
R0007,Comfort-sensitive,HEMA,2,0,0
R0007,Comfort-sensitive,EnergyBridge,3,1,1
R0008,EV commuter,MPC,1,1,1
R0008,EV commuter,HEMA,2,1,4
R0008,EV commuter,EnergyBridge,3,1,3
R0009,Cooperative regular,MPC,1,1,3
R0009,Cooperative regular,HEMA,2,1,4
R0009,Cooperative regular,EnergyBridge,3,0,3
R0010,Caregiver,MPC,1,0,0
R0010,Caregiver,HEMA,2,0,3
R0010,Caregiver,EnergyBridge,3,0,3
R0011,Comfort-sensitive,MPC,1,0,4
R0011,Comfort-sensitive,HEMA,2,0,3
R0011,Comfort-sensitive,EnergyBridge,3,1,3
R0012,EV commuter,MPC,1,0,2.6
R0012,EV commuter,HEMA,2,1,4.1
R0012,EV commuter,EnergyBridge,3,0,5
R0013,Comfort-sensitive,MPC,1,0,2
R0013,Comfort-sensitive,HEMA,2,1,4
R0013,Comfort-sensitive,EnergyBridge,3,1,0
R0014,Caregiver,MPC,1,1,0
R0014,Caregiver,HEMA,2,0,1
R0014,Caregiver,EnergyBridge,3,0,3
R0015,EV commuter,MPC,1,0,5
R0015,EV commuter,HEMA,2,1,3
R0015,EV commuter,EnergyBridge,3,1,4
R0016,EV commuter,MPC,1,0,1
R0016,EV commuter,HEMA,2,0,3
R0016,EV commuter,EnergyBridge,3,1,5
R0017,Caregiver,MPC,1,0,3.2
R0017,Caregiver,HEMA,2,1,2.7
R0017,Caregiver,EnergyBridge,3,1,4.6
R0018,Caregiver,MPC,1,1,2.7
R0018,Caregiver,HEMA,2,1,2.6
R0018,Caregiver,EnergyBridge,3,1,2.3
R0019,Price-sensitive,MPC,1,0,0
R0019,Price-sensitive,HEMA,2,1,4
R0019,Price-sensitive,EnergyBridge,3,0,3
R0020,Price-sensitive,MPC,1,1,2.8
R0020,Price-sensitive,HEMA,2,1,3
R0020,Price-sensitive,EnergyBridge,3,1,3.5
R0021,EV commuter,MPC,1,0,4
R0021,EV commuter,HEMA,2,1,0
R0021,EV commuter,EnergyBridge,3,1,5
R0022,Caregiver,MPC,1,1,2
R0022,Caregiver,HEMA,2,1,1
R0022,Caregiver,EnergyBridge,3,0,0
R0023,Irregular routine,MPC,1,0,3
R0023,Irregular routine,HEMA,2,0,5
R0023,Irregular routine,EnergyBridge,3,1,3
R0024,EV commuter,MPC,1,1,3
R0024,EV commuter,HEMA,2,1,1
R0024,EV commuter,EnergyBridge,3,1,0
R0025,EV commuter,MPC,1,0,2
R0025,EV commuter,HEMA,2,1,0
R0025,EV commuter,EnergyBridge,3,0,2
R0026,Irregular routine,MPC,1,0,5
R0026,Irregular routine,HEMA,2,0,4
R0026,Irregular routine,EnergyBridge,3,1,3
R0027,Price-sensitive,MPC,1,1,5
R0027,Price-sensitive,HEMA,2,1,5
R0027,Price-sensitive,EnergyBridge,3,1,5
R0028,Cooperative regular,MPC,1,0,5
R0028,Cooperative regular,HEMA,2,1,1
R0028,Cooperative regular,EnergyBridge,3,1,5
R0029,Irregular routine,MPC,1,1,5
R0029,Irregular routine,HEMA,2,0,2
R0029,Irregular routine,EnergyBridge,3,1,2
R0030,Irregular routine,MPC,1,0,5
R0030,Irregular routine,HEMA,2,1,2
R0030,Irregular routine,EnergyBridge,3,1,0
R0031,Comfort-sensitive,MPC,1,1,3
R0031,Comfort-sensitive,HEMA,2,0,3
R0031,Comfort-sensitive,EnergyBridge,3,1,3
R0032,Cooperative regular,MPC,1,0,0
R0032,Cooperative regular,HEMA,2,0,0
R0032,Cooperative regular,EnergyBridge,3,1,0
R0033,Price-sensitive,MPC,1,0,2
R0033,Price-sensitive,HEMA,2,1,2
R0033,Price-sensitive,EnergyBridge,3,1,0
R0034,Comfort-sensitive,MPC,1,1,4
R0034,Comfort-sensitive,HEMA,2,1,2
R0034,Comfort-sensitive,EnergyBridge,3,1,0
R0035,Comfort-sensitive,MPC,1,0,3
R0035,Comfort-sensitive,HEMA,2,0,0
R0035,Comfort-sensitive,EnergyBridge,3,0,5
R0036,Comfort-sensitive,MPC,1,1,2
R0036,Comfort-sensitive,HEMA,2,0,3
R0036,Comfort-sensitive,EnergyBridge,3,1,4
R0037,Irregular routine,MPC,1,1,0
R0037,Irregular routine,HEMA,2,0,1
R0037,Irregular routine,EnergyBridge,3,1,0
R0038,Cooperative regular,MPC,1,0,3
R0038,Cooperative regular,HEMA,2,0,1
R0038,Cooperative regular,EnergyBridge,3,1,0
R0039,Comfort-sensitive,MPC,1,0,1
R0039,Comfort-sensitive,HEMA,2,1,5
R0039,Comfort-sensitive,EnergyBridge,3,1,1
R0040,Cooperative regular,MPC,1,0,0
R0040,Cooperative regular,HEMA,2,0,1
R0040,Cooperative regular,EnergyBridge,3,1,1
R0041,EV commuter,MPC,1,0,4
R0041,EV commuter,HEMA,2,0,4
R0041,EV commuter,EnergyBridge,3,1,0
R0042,Price-sensitive,MPC,1,0,2
R0042,Price-sensitive,HEMA,2,0,2
R0042,Price-sensitive,EnergyBridge,3,0,5
R0043,Cooperative regular,MPC,1,0,3
R0043,Cooperative regular,HEMA,2,0,2
R0043,Cooperative regular,EnergyBridge,3,1,2
R0044,Price-sensitive,MPC,1,0,3
R0044,Price-sensitive,HEMA,2,0,4
R0044,Price-sensitive,EnergyBridge,3,1,0
R0045,EV commuter,MPC,1,1,2
R0045,EV commuter,HEMA,2,0,2
R0045,EV commuter,EnergyBridge,3,1,4
R0046,EV commuter,MPC,1,1,4
R0046,EV commuter,HEMA,2,0,3
R0046,EV commuter,EnergyBridge,3,1,5
R0047,Comfort-sensitive,MPC,1,1,0.4
R0047,Comfort-sensitive,HEMA,2,0,3.6
R0047,Comfort-sensitive,EnergyBridge,3,1,4.3
R0048,Cooperative regular,MPC,1,0,2
R0048,Cooperative regular,HEMA,2,0,3
R0048,Cooperative regular,EnergyBridge,3,1,1
R0049,Comfort-sensitive,MPC,1,0,3
R0049,Comfort-sensitive,HEMA,2,0,3
R0049,Comfort-sensitive,EnergyBridge,3,1,3
R0050,EV commuter,MPC,1,0,0
R0050,EV commuter,HEMA,2,0,5
R0050,EV commuter,EnergyBridge,3,0,1
R0051,Irregular routine,MPC,1,0,0
R0051,Irregular routine,HEMA,2,0,5
R0051,Irregular routine,EnergyBridge,3,1,3
R0052,Cooperative regular,MPC,1,1,4
R0052,Cooperative regular,HEMA,2,0,1
R0052,Cooperative regular,EnergyBridge,3,1,4.1
R0053,EV commuter,MPC,1,0,1
R0053,EV commuter,HEMA,2,1,1
R0053,EV commuter,EnergyBridge,3,1,5
R0054,Caregiver,MPC,1,0,5
R0054,Caregiver,HEMA,2,1,0
R0054,Caregiver,EnergyBridge,3,1,5
R0055,Price-sensitive,MPC,1,0,1
R0055,Price-sensitive,HEMA,2,0,3
R0055,Price-sensitive,EnergyBridge,3,0,4
R0056,Cooperative regular,MPC,1,0,4
R0056,Cooperative regular,HEMA,2,1,5
R0056,Cooperative regular,EnergyBridge,3,1,1
R0057,Comfort-sensitive,MPC,1,0,4
R0057,Comfort-sensitive,HEMA,2,1,1
R0057,Comfort-sensitive,EnergyBridge,3,1,0
R0058,Caregiver,MPC,1,0,1
R0058,Caregiver,HEMA,2,1,5
R0058,Caregiver,EnergyBridge,3,0,5
R0059,Price-sensitive,MPC,1,1,2
R0059,Price-sensitive,HEMA,2,0,5
R0059,Price-sensitive,EnergyBridge,3,1,0
